page,breakpoint,component,selector,property,expected,before,after,beforeDiff,afterDiff,status,probableCss
detalhe-anuncio.html,608x926,section-headers,.detail-section__header,box.height,46,32,32,-14,-14,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,608x926,section-headers,.detail-section__header,gap,18,10,10,-8,-8,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,608x926,rails/containers,.ad-detail-shell,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,box.height,21.31,38,21.31,16.69,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,padding.left,6,14,6,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,padding.right,6,14,6,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,radius,0,999,0,999,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,gap,0,8,8,8,8,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,box.height,21.31,38,21.31,16.69,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,padding.left,6,14,6,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,padding.right,6,14,6,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,radius,0,999,0,999,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,gap,0,8,8,8,8,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,box.height,21.31,38,21.31,16.69,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,padding.left,6,14,6,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,padding.right,6,14,6,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,radius,0,999,0,999,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,filter-pills,.communities-filter,gap,0,8,8,8,8,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,section-headers,.communities-v2-section__heading,box.height,46,32,32,-14,-14,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,section-headers,.communities-v2-section__heading,gap,18,12,12,-6,-6,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,section-headers,.communities-v2-section__heading,box.height,46,32,32,-14,-14,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,608x926,section-headers,.communities-v2-section__heading,gap,18,12,12,-6,-6,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,810x1080,doke-ad-card,.results-grid > .doke-ad-card,box.width,230.78,481.39,230.78,250.61,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,810x1080,doke-ad-card,.results-grid > .doke-ad-card,media.height,137.69,148,104,10.31,-33.69,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,810x1080,doke-ad-card,.results-grid > .doke-ad-card,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,810x1080,doke-ad-card,.results-grid > .doke-ad-card,box.width,230.78,481.39,230.78,250.61,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,810x1080,doke-ad-card,.results-grid > .doke-ad-card,media.height,137.69,148,104,10.31,-33.69,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,810x1080,doke-ad-card,.results-grid > .doke-ad-card,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,810x1080,doke-ad-card,.results-grid > .doke-ad-card,box.width,230.78,481.39,230.78,250.61,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,810x1080,doke-ad-card,.results-grid > .doke-ad-card,media.height,137.69,148,104,10.31,-33.69,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,810x1080,doke-ad-card,.results-grid > .doke-ad-card,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
